iteration,category
0,Explore
1,Explore
2,Explain
3,Search
4,Search
5,Search
6,Explore
7,Explore
8,Explore
9,Explore
10,Explore
11,Search
12,Explore
13,Explore
14,Generate Fix
15,Generate Fix
16,Generate Fix
17,Explain
18,Generate Fix
19,Generate Fix
20,Generate Fix
21,Explain
22,Search
23,Search
24,Explore
25,Explore
26,Generate Fix
27,Generate Fix
28,Generate Fix
29,Generate Fix
30,Generate Fix
31,Explain
32,Generate Fix
33,Explain
34,Search
35,Explore
36,Explore
37,Generate Fix
