iteration,category
0,Explore
1,Explore
2,Explain
3,Search
4,Locate
5,Generate Fix
6,Generate Fix
7,Explain
8,Explore
9,Explain
10,Generate Fix
11,Generate Fix
12,Explain
13,Search
14,Locate
15,Generate Fix
16,Explain
17,Search
18,Locate
19,Generate Fix
20,Explain
21,Generate Fix
22,Explain
23,Explain
24,Locate
25,Explore
26,Generate Fix
27,Generate Fix
28,Generate Fix
29,Generate Fix
30,Generate Fix
31,Generate Fix
32,Generate Fix
33,Explore
34,Generate Fix
35,Explore
36,Generate Fix
37,Generate Fix
38,Generate Fix
